,en_name,cn_name,link
230,Cuiyu,粹羽,shanghai/cuiyu.htm
231,Curass,CURASS,shanghai/curass.htm
232,Da Fresh/Daxinxian,大新鮮,shanghai/daxinxian.htm
233,Dahuoji,打火機,shanghai/dahuoji.htm
234,Daojianghu,搗[米強]糊,shanghai/daojianghu.htm
235,Daomeixiong,倒[雨/毎]熊,shanghai/daomeixiong.htm
236,Dazhongren,大衆人,shanghai/dazhongren.htm
237,Deadly Sins/Sizui,死罪,shanghai/sizui.htm
238,"Dead Poets
        Society/Siwangshishe",死亡詩社,shanghai/siwangshishe.htm
239,Death Pig,DEATH PIG,shanghai/deathpig.htm
240,Death River/Minghe,冥河,shanghai/minghe.htm
241,December,DECEMBER,shanghai/december.htm
242,Demain,DEMAIN,shanghai/demain.htm
243,Demo,DEMO,shanghai/demo.htm
244,Desert Rose,Desert Rose,shanghai/desertrose.htm
245,Devil,DEVIL,shanghai/devil.htm
246,Dianfu Shili,顛覆勢力,shanghai/dianfushili.htm
247,Dianyundou Yanchangzu,電熨斗演唱組,shanghai/dianyundou.htm
248,Diaoling zhi qiu,凋凌之秋,shanghai/diaolingzhiqiu.htm
249,Didiao,D調,shanghai/ddiao.htm
250,Didong,地洞,shanghai/didong.htm
251,Dierxuan,第二弦,shanghai/di2xuan.htm
252,D.I.M,D.I.M,shanghai/dim.htm
253,Dingceng,頂層,shanghai/dingceng.htm
254,Disanjuntuan,TheMaoBreeds,shanghai/di3juntuan.htm
255,Disi,地司,shanghai/disi.htm
256,Di4duanceng,第四斷層,shanghai/di4duanceng.htm
257,Diva,DIVA,shanghai/diva.htm
258,Diwuxiangxian,第五象限,shanghai/di5xiangxian.htm
259,Diyu guihuo,地獄鬼火,shanghai/diyuguihuo.htm
260,Diyuhuo,地獄火,shanghai/diyuhuo.htm
261,D-Mus,D-MUS,shanghai/dmus.htm
262,Doctor c,DOCTOR C,shanghai/doctorc.htm
263,Dog Bless Me,Dog Bless Me,shanghai/dogblessme.htm
264,Dog&God,DOG&GOD,shanghai/doggod.htm
265,Dolice Bump,DOLICE BUMP,shanghai/dolicebump.htm
266,Domain,Domain,shanghai/domain.htm
267,Dongcaizenmehaibulai,東才怎麼還不来,shanghai/dczmhbl.htm
268,Double Control Where,Double Control Where,shanghai/dcw.htm
269,Double free/Dapaofali,大炮發力,shanghai/dapaofali.htm
270,Double smile,DOUBLE SMILE,shanghai/doublesmile.htm
271,Dragon Pizza/Longpisa,Dragon Pizza楽隊,shanghai/dragonpizza.htm
272,Dream,DREAM,shanghai/dream.htm
273,Dream Leader,DREAM LEADER,shanghai/dreamleader.htm
274,"Drown In
        Sufferings/Xuesechenlun",血色沈淪,shanghai/xuesechenlun.htm
275,Duan,斷,shanghai/duan.htm
276,Duanluqi,斷路器,shanghai/duanluqi.htm
277,Duck Fight Goose,DUCK FIGHT GOOSE,shanghai/duckfightgoose.htm
278,Duoxingqiti,惰性気體,shanghai/duoxingqiti.htm
279,Dushe,毒舌,shanghai/dushe.htm
280,D'What,D'WHAT,shanghai/dwhat.htm
281,DZ,DZ,shanghai/dz.htm
282,EC,EC,shanghai/ec.htm
283,Echoes,五便士,shanghai/wubianshi.htm
284,Elder/Jiegumu,接骨木,shanghai/jiegumu.htm
285,"Elephant
        Makers/Daxiangzhuangxiudui",大象装修隊,shanghai/dxzxd.htm
286,11th,11th,shanghai/11th.htm
287,Empire Force,Empire Force,shanghai/empireforce.htm
288,Endless,ENDLESS,shanghai/endless.htm
289,EpitapH/Muzhiming,墓誌銘,shanghai/muzhiming.htm
290,Erase,ERASE,shanghai/erase.htm
291,Eratic Tone,ERATIC TONE,shanghai/eratictone.htm
292,Eren,餓人,shanghai/eren.htm
293,Erlou,二樓,shanghai/erlou.htm
294,Eros,EROS,shanghai/eros.htm
295,21 Grams,21 Grams,shanghai/21g.htm
296,Esday,ESDAY,shanghai/esday.htm
297,Evil doll,Evil doll,shanghai/evildoll.htm
298,Exian,E弦,shanghai/exian.htm
299,Face Powder/Yanzhi,［月因］脂,shanghai/yanzhi.htm
